2011-02-10 19:29:11 Notice: Notice (8): Undefined variable: response in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 113]
2011-02-10 22:19:39 Notice: Notice (8): Undefined variable: response in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 113]
2011-02-11 10:25:37 Notice: Notice (8): Undefined property: Project::$Engineer in [/var/www/fasa/trunk/app/controllers/projects_controller.php, line 29]
2011-02-11 10:30:32 Notice: Notice (8): Undefined property: Project::$Emsefor in [/var/www/fasa/trunk/app/controllers/projects_controller.php, line 30]
2011-02-11 10:31:07 Notice: Notice (8): Undefined property: Project::$Emsefor in [/var/www/fasa/trunk/app/controllers/projects_controller.php, line 30]
2011-02-11 10:48:18 Notice: Notice (8): Undefined variable: response in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 113]
2011-02-11 16:11:28 Notice: Notice (8): Undefined index: tmp_name in [/var/www/fasa/trunk/app/controllers/projects_controller.php, line 24]
2011-02-11 16:11:28 Notice: Notice (8): Undefined index: Projects in [/var/www/fasa/trunk/app/controllers/projects_controller.php, line 24]
2011-02-11 16:12:01 Notice: Notice (8): Undefined index: Projects in [/var/www/fasa/trunk/app/controllers/projects_controller.php, line 24]
2011-02-11 16:12:19 Notice: Notice (8): Undefined index: Projects in [/var/www/fasa/trunk/app/controllers/projects_controller.php, line 24]
2011-02-11 16:12:33 Notice: Notice (8): Undefined index: Projects in [/var/www/fasa/trunk/app/controllers/projects_controller.php, line 24]
2011-02-11 16:12:41 Notice: Notice (8): Undefined index: Projects in [/var/www/fasa/trunk/app/controllers/projects_controller.php, line 24]
2011-02-11 16:23:37 Notice: Notice (8): Undefined property: Project::$Projectfile in [/var/www/fasa/trunk/app/controllers/projects_controller.php, line 38]
2011-02-11 16:23:52 Notice: Notice (8): Undefined property: Project::$Projectfile in [/var/www/fasa/trunk/app/controllers/projects_controller.php, line 41]
2011-02-11 16:24:49 Notice: Notice (8): Undefined index: name in [/var/www/fasa/trunk/app/controllers/projects_controller.php, line 48]
2011-02-11 16:36:24 Notice: Notice (8): Undefined index: name in [/var/www/fasa/trunk/app/controllers/projects_controller.php, line 42]
2011-02-11 16:36:24 Notice: Notice (8): Undefined variable: order in [/var/www/fasa/trunk/app/controllers/projects_controller.php, line 42]
2011-02-11 16:36:45 Notice: Notice (8): Undefined index: name in [/var/www/fasa/trunk/app/controllers/projects_controller.php, line 42]
2011-02-12 15:13:45 Notice: Notice (8): Undefined variable: ing in [/var/www/fasa/trunk/app/controllers/reportes_controller.php, line 224]
2011-02-12 15:19:09 Notice: Notice (8): Undefined variable: planificaciones in [/var/www/fasa/trunk/app/controllers/reportes_controller.php, line 364]
2011-02-12 15:23:46 Notice: Notice (8): Undefined variable: filiales in [/var/www/fasa/trunk/app/controllers/reportes_controller.php, line 18]
2011-02-12 15:23:46 Notice: Notice (8): Undefined offset: 1 in [/var/www/fasa/trunk/app/controllers/reportes_controller.php, line 136]
2011-02-12 15:23:46 Notice: Notice (8): Undefined offset: 1 in [/var/www/fasa/trunk/app/controllers/reportes_controller.php, line 137]
2011-02-12 15:23:46 Notice: Notice (8): Undefined offset: 1 in [/var/www/fasa/trunk/app/controllers/reportes_controller.php, line 138]
2011-02-12 15:23:46 Notice: Notice (8): Undefined offset: 1 in [/var/www/fasa/trunk/app/controllers/reportes_controller.php, line 139]
2011-02-12 15:23:46 Notice: Notice (8): Undefined offset: 2 in [/var/www/fasa/trunk/app/controllers/reportes_controller.php, line 142]
2011-02-12 15:23:46 Notice: Notice (8): Undefined offset: 2 in [/var/www/fasa/trunk/app/controllers/reportes_controller.php, line 143]
2011-02-12 15:23:46 Notice: Notice (8): Undefined offset: 2 in [/var/www/fasa/trunk/app/controllers/reportes_controller.php, line 144]
2011-02-12 15:23:46 Notice: Notice (8): Undefined offset: 2 in [/var/www/fasa/trunk/app/controllers/reportes_controller.php, line 145]
2011-02-12 15:23:46 Notice: Notice (8): Undefined offset: 3 in [/var/www/fasa/trunk/app/controllers/reportes_controller.php, line 148]
2011-02-12 15:23:46 Notice: Notice (8): Undefined offset: 3 in [/var/www/fasa/trunk/app/controllers/reportes_controller.php, line 149]
2011-02-12 15:23:46 Notice: Notice (8): Undefined offset: 3 in [/var/www/fasa/trunk/app/controllers/reportes_controller.php, line 150]
2011-02-12 15:23:46 Notice: Notice (8): Undefined offset: 3 in [/var/www/fasa/trunk/app/controllers/reportes_controller.php, line 151]
2011-02-12 15:23:46 Notice: Notice (8): Undefined variable: planificaciones in [/var/www/fasa/trunk/app/controllers/reportes_controller.php, line 344]
2011-02-12 15:37:54 Notice: Notice (8): Undefined offset: 4 in [/var/www/fasa/trunk/app/controllers/reportes_controller.php, line 339]
2011-02-12 15:37:54 Notice: Notice (8): Undefined offset: 5 in [/var/www/fasa/trunk/app/controllers/reportes_controller.php, line 340]
2011-02-12 16:06:40 Notice: Notice (8): Undefined variable: id in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 448]
2011-02-12 16:06:49 Notice: Notice (8): Undefined property: OnereportsController::$Article in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 449]
2011-02-12 16:24:46 Notice: Notice (8): Undefined variable: emsefor in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 453]
2011-02-12 16:24:46 Notice: Notice (8): Undefined variable: emsefor in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 454]
2011-02-12 16:42:05 Notice: Notice (8): Undefined property: Onereport::$Filial in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 455]
2011-02-12 16:42:25 Notice: Notice (8): Undefined property: Onereport::$Filial in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 456]
2011-02-12 16:44:08 Notice: Notice (8): Undefined property: Onereport::$Filial in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 457]
2011-02-12 16:56:05 Notice: Notice (8): Undefined variable: k in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 455]
2011-02-12 16:56:05 Notice: Notice (8): Undefined property: Onereport::$Filial in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 473]
2011-02-12 16:56:11 Notice: Notice (8): Undefined property: Onereport::$Filial in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 473]
2011-02-12 16:56:24 Notice: Notice (8): Undefined property: Onereport::$Filial in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 474]
2011-02-12 16:57:03 Notice: Notice (8): Undefined offset: 0 in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 472]
2011-02-12 16:57:03 Notice: Notice (8): Undefined property: Onereport::$Filial in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 474]
2011-02-12 16:57:14 Notice: Notice (8): Undefined offset: 0 in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 472]
2011-02-12 16:57:14 Notice: Notice (8): Undefined property: Onereport::$Filial in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 474]
2011-02-12 16:57:30 Notice: Notice (8): Undefined offset: 0 in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 473]
2011-02-12 16:57:30 Notice: Notice (8): Undefined property: Onereport::$Filial in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 475]
2011-02-12 16:58:01 Notice: Notice (8): Undefined offset: 0 in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 473]
2011-02-12 16:58:01 Notice: Notice (8): Undefined property: Onereport::$Filial in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 475]
2011-02-12 16:58:38 Notice: Notice (8): Undefined property: Onereport::$Filial in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 475]
2011-02-12 16:59:13 Notice: Notice (8): Undefined property: Onereport::$Filial in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 475]
2011-02-12 16:59:17 Notice: Notice (8): Undefined property: Onereport::$Filial in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 475]
2011-02-12 16:59:32 Notice: Notice (8): Undefined property: Onereport::$Filial in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 472]
2011-02-12 17:00:19 Notice: Notice (8): Undefined property: Onereport::$Filial in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 475]
2011-02-12 17:01:08 Notice: Notice (8): Undefined property: Onereport::$Filial in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 475]
2011-02-12 17:01:14 Notice: Notice (8): Undefined property: Onereport::$Filial in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 475]
2011-02-12 17:02:47 Notice: Notice (8): Undefined property: Onereport::$Filial in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 475]
2011-02-12 17:03:09 Notice: Notice (8): Undefined property: Onereport::$Filial in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 475]
2011-02-12 17:03:44 Notice: Notice (8): Undefined property: Onereport::$Filial in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 475]
2011-02-12 17:03:54 Notice: Notice (8): Undefined property: Onereport::$Filial in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 475]
2011-02-12 17:04:11 Notice: Notice (8): Undefined property: Onereport::$Onereport in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 475]
2011-02-12 17:12:11 Notice: Notice (8): Undefined offset: 15 in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 473]
2011-02-12 17:12:11 Notice: Notice (8): Undefined offset: 15 in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 493]
2011-02-12 17:12:11 Notice: Notice (8): Undefined offset: 16 in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 473]
2011-02-12 17:12:11 Notice: Notice (8): Undefined offset: 16 in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 493]
2011-02-12 17:12:11 Notice: Notice (8): Undefined offset: 17 in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 473]
2011-02-12 17:12:11 Notice: Notice (8): Undefined offset: 17 in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 493]
2011-02-12 17:12:11 Notice: Notice (8): Undefined offset: 18 in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 473]
2011-02-12 17:12:11 Notice: Notice (8): Undefined offset: 18 in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 493]
2011-02-12 17:12:11 Notice: Notice (8): Undefined offset: 19 in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 473]
2011-02-12 17:12:11 Notice: Notice (8): Undefined offset: 19 in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 493]
2011-02-12 17:17:29 Notice: Notice (8): Undefined index: filial in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 477]
2011-02-12 17:17:29 Notice: Notice (8): Undefined index: filial in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 480]
2011-02-12 17:17:29 Notice: Notice (8): Undefined index: filial in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 482]
2011-02-12 17:17:29 Notice: Notice (8): Undefined index: filial in [/var/www/fasa/trunk/app/controllers/onereports_controller.php, line 484]
2011-02-12 17:17:30 Notice: Notice (8): Undefined variable: data in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 48]
2011-02-12 17:17:44 Notice: Notice (8): Undefined variable: data in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 48]
2011-02-12 17:23:49 Notice: Notice (8): Undefined variable: data in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 48]
2011-02-12 17:24:45 Notice: Notice (8): Undefined variable: data in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 48]
2011-02-12 17:26:54 Notice: Notice (8): Undefined variable: data in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 48]
2011-02-12 17:27:43 Notice: Notice (8): Undefined variable: data in [/var/www/fasa/trunk/app/views/onereports/top_emsefors.ctp, line 48]
